title,channel,upload_date,url
Comedian DL Hughley roasts Trump at DNC,CNN,2024-08-23T05:17:22Z,https://www.youtube.com/watch?v=UumNEYqg3a4
Trump continues personal attacks on Kamala Harris,CNN,2024-08-19T11:35:22Z,https://www.youtube.com/watch?v=SM--QJaPRz0
Robert De Niro: Trump thinks he’s a ‘gangster’,CNN,2024-09-12T23:43:02Z,https://www.youtube.com/watch?v=w3EliVSw5_A
Donald Trump&#39;s niece says this is one of the most ‘damning and dangerous’ things about Trump,CNN,2024-09-12T02:05:37Z,https://www.youtube.com/watch?v=MLGrSrKFskc
Harris and Trump shake hands at 9/11 service,CNN,2024-09-11T13:24:17Z,https://www.youtube.com/watch?v=uxrH-SS081k
Trump gives campaign speech on economy,CNN,2024-08-14T22:00:00Z,https://www.youtube.com/watch?v=0Odf4wJEoAU
Trump posts &#39;I HATE TAYLOR SWIFT&#39; days after pop star announces support for Kamala Harris,CNN,2024-09-16T13:14:08Z,https://www.youtube.com/watch?v=kqAHOhB4hD0
Meet the Gen Z creator making TikToks for Trump,CNN,2024-09-12T18:04:07Z,https://www.youtube.com/watch?v=kgHOO3UrRP0
Harris and Trump spar over abortion rights,CNN,2024-09-11T01:45:44Z,https://www.youtube.com/watch?v=wuNWdW0UXWI
&#39;I&#39;m talking now&#39;: Trump and Harris spar during debate,CNN,2024-09-11T03:28:15Z,https://www.youtube.com/watch?v=JlbetnvaLN8
Pope criticizes both Trump and Harris,CNN,2024-09-14T00:22:40Z,https://www.youtube.com/watch?v=wsC3h9rSju0
Trump accuser: &#39;He is a predator of women&#39;,CNN,2024-09-10T01:44:08Z,https://www.youtube.com/watch?v=zak-ebOsShE
Trump and Harris on Israel stances,CNN,2024-09-11T03:31:11Z,https://www.youtube.com/watch?v=8EbQ1cc1wq8
Trump tries to correct record on his claim Christians won&#39;t need to vote again after 2024 election,CNN,2024-08-28T02:47:14Z,https://www.youtube.com/watch?v=6o7Om1kDpfk
Lindsey Graham responds to Trump’s criticism,CNN,2024-08-26T14:16:26Z,https://www.youtube.com/watch?v=jt06KmoOHqA
Former Trump official calls his message to women &#39;creepy&#39;,CNN,2024-09-25T14:11:34Z,https://www.youtube.com/watch?v=mYdTeFCsrxM
