title,channel,upload_date,url
Dana White: Trump is the most resilient human being I have ever met,Fox News,2024-09-01T10:00:00Z,https://www.youtube.com/watch?v=0eH19gAcuCA
Tyrus crowns Trump &#39;The People&#39;s Champ&#39;,Fox News,2024-09-19T21:15:00Z,https://www.youtube.com/watch?v=EqHg5FwXUFk
Boy brought to tears after receiving gift from Trump,Fox News,2024-09-13T22:08:19Z,https://www.youtube.com/watch?v=3OfUt0YjC94
Why vote for Trump? Why vote for Harris? Amazon&#39;s Alexa gives shockingly different answers.,Fox News,2024-09-03T21:46:25Z,https://www.youtube.com/watch?v=jbo1gkS3Okk
Trump: &#39;I probably took a bullet to the head because of the things they say about me&#39;,Fox News,2024-09-11T08:30:13Z,https://www.youtube.com/watch?v=clmEHD2ISOA
Trump makes first in-studio ‘Gutfeld!’ appearance,Fox News,2024-09-19T02:45:02Z,https://www.youtube.com/watch?v=q6NAwzGtxAg
Trump surprises 8-year-old boy fighting rare brain disorder with special birthday gift before rally,Fox News,2024-09-19T15:01:05Z,https://www.youtube.com/watch?v=W7VU8sRo37g
Trump: Howard Stern went ‘woke’,Fox News,2024-09-19T03:30:10Z,https://www.youtube.com/watch?v=MeOeIRPuTuE
Lady Gaga&#39;s dad endorses Trump for president,Fox News,2024-09-19T21:58:16Z,https://www.youtube.com/watch?v=eWJ5eZnOrPc
Trump uses Kamala Harris’ own words against her,Fox News,2024-09-11T03:45:00Z,https://www.youtube.com/watch?v=D0vcdRvJj8o
The investigation into the second assassination attempt against former President Trump continues,Fox News,2024-09-16T18:11:44Z,https://www.youtube.com/watch?v=ziZvySR_GMM
New details revealed on Trump shooter after second assassination attempt,Fox News,2024-09-16T10:00:42Z,https://www.youtube.com/watch?v=ep_q8IvFvQI
"Trump, Harris face off at the ABC News Presidential Debate",Fox News,2024-09-11T02:55:35Z,https://www.youtube.com/watch?v=4IGd0BrrXoI
Trump jokes about his golf game with Gutfeld just days after the second assassination attempt,Fox News,2024-09-18T22:51:41Z,https://www.youtube.com/watch?v=u7xKFsqymLI
Donald Trump professes that he &#39;believes in God more&#39; after assassination attempt,Fox News,2024-08-31T22:00:01Z,https://www.youtube.com/watch?v=0RbQ2Gb2AG4
Melania Trump releases statement on Trump&#39;s assassination attempt,Fox News,2024-09-10T22:50:40Z,https://www.youtube.com/watch?v=ox70N4qeq0k
Donald Trump: Nobody’s ever seen anything like this,Fox News,2024-09-11T04:30:25Z,https://www.youtube.com/watch?v=bYomzkvrHnE
Kamala Harris: Consider what Trump will do if we give him power again,Fox News,2024-08-25T06:00:13Z,https://www.youtube.com/watch?v=FKHEYUImU8A
Trump: I was going to send Kamala Harris a MAGA hat!,Fox News,2024-09-11T04:45:00Z,https://www.youtube.com/watch?v=8Af2ZnmxzJ8
Trump on &#39;Gutfeld!&#39;: People will figure this out about Kamala Harris,Fox News,2024-09-23T03:00:07Z,https://www.youtube.com/watch?v=A_iiOh4iVZs
Trump gives fiery response on illegal immigration at town hall,Fox News,2024-09-05T02:12:38Z,https://www.youtube.com/watch?v=ofgJ59hEpHo
"Donald Trump delivers remarks at a campaign rally in Indiana, PA",Fox News,2024-09-24T01:33:47Z,https://www.youtube.com/watch?v=eG6_X6lPRBA
"Donald Trump, Jr.: My father will &#39;keep fighting&#39; with &#39;same resolve&#39; from Butler rally",Fox News,2024-09-18T10:45:04Z,https://www.youtube.com/watch?v=v1rgk-WxrhM
Trump tells Harris to &quot;wake&quot; Biden up to close the border,Fox News,2024-09-11T04:28:06Z,https://www.youtube.com/watch?v=7w-puL9zFPs
Comedian DL Hughley roasted Donald Trump at the DNC,Fox News,2024-08-23T02:10:50Z,https://www.youtube.com/watch?v=BRFbgg12UIQ
Donald Trump: I always said golf was a very dangerous game,Fox News,2024-09-19T20:45:03Z,https://www.youtube.com/watch?v=y_XKieJ-Yps
Trump surprises mom of three with gift at grocery store,Fox News,2024-09-24T16:11:07Z,https://www.youtube.com/watch?v=U9Bwy6z9A6E
‘The Five’ reacts to second apparent assassination attempt on Trump,Fox News,2024-09-16T22:15:02Z,https://www.youtube.com/watch?v=seVNpnjsRzU
Watch the moment Trump and Harris shake hands to begin the ABC News Presidential Debate,Fox News,2024-09-11T02:47:31Z,https://www.youtube.com/watch?v=RMwIg2WUrPE
Donald Trump: Kamala Harris &#39;hates Israel&#39;,Fox News,2024-09-11T07:15:00Z,https://www.youtube.com/watch?v=FziplU2FH_I
Watch Trump take on Clinton in 2016 debate flashback as she now advises Harris #shorts,Fox News,2024-09-08T21:00:05Z,https://www.youtube.com/watch?v=Am8l56O0Tug
Donald Trump: This is what the 2024 campaign is about,Fox News,2024-09-05T02:30:22Z,https://www.youtube.com/watch?v=ek3-5fJqH9M
Donald Trump: ABC News is ‘very nasty’,Fox News,2024-09-05T09:45:05Z,https://www.youtube.com/watch?v=tlxzFwkVBng
WATCH: Trump answers audience questions at Fox News town hall,Fox News,2024-09-06T03:00:34Z,https://www.youtube.com/watch?v=nAqEHBVpgNo
Trump: Kamala Harris is &#39;the worst vice president in history&#39;,Fox News,2024-09-11T04:00:30Z,https://www.youtube.com/watch?v=YRM4P-VUkEs
"Donald Trump thanks Robert F. Kennedy, Jr. for his support",Fox News,2024-08-23T20:55:59Z,https://www.youtube.com/watch?v=rInXyvwzt0o
"RFK, Jr. joins Trump on stage: Don&#39;t you want a president who will make America healthy again?",Fox News,2024-08-24T00:00:56Z,https://www.youtube.com/watch?v=plzeBB_DzwI
"Donald Trump: It is a sick and angry world, and we will heal it",Fox News,2024-09-05T01:19:58Z,https://www.youtube.com/watch?v=uOaGEPBVqj4
Donald Trump pledges to &#39;expose&#39; Kamala Harris at first debate,Fox News,2024-09-01T01:45:02Z,https://www.youtube.com/watch?v=qcMiAweF4-g
Speakers at the Democratic National Convention could not stop talking about Donald Trump,Fox News,2024-08-21T20:03:17Z,https://www.youtube.com/watch?v=t9rJEflH71M
"Donald Trump and RFK, Jr. speak at Arizona rally after endorsement",Fox News,2024-08-24T01:02:21Z,https://www.youtube.com/watch?v=D1XLRP4EhEk
Donald Trump: This debate was &#39;stacked&#39;,Fox News,2024-09-11T05:15:04Z,https://www.youtube.com/watch?v=ivqIbkN6rkw
Donald Trump: I created the greatest economy,Fox News,2024-09-11T07:00:20Z,https://www.youtube.com/watch?v=eDQnljllnLI
Gutfeld: Donald Trump will put everything out there,Fox News,2024-09-05T04:15:00Z,https://www.youtube.com/watch?v=Km2LWRN2UDY
"Donald Trump, JD Vance address national security at an event in North Carolina",Fox News,2024-08-21T19:35:06Z,https://www.youtube.com/watch?v=R4xj7DxhI8c
Lady Gaga&#39;s father applauds Trump&#39;s &#39;no tax on tips&#39; plan as &#39;brilliant&#39;,Fox News,2024-08-23T21:45:01Z,https://www.youtube.com/watch?v=xa4GqXBkoqg
Harris to Trump: Putin would ‘eat you for lunch’,Fox News,2024-09-11T06:00:00Z,https://www.youtube.com/watch?v=071AJxJ9pHM
&#39;More to this story&#39;: Melania Trump demands answers on assassination attempt,Fox News,2024-09-12T01:00:28Z,https://www.youtube.com/watch?v=rFtuNm5b9Go
Donald Trump: Kamala Harris is the &#39;greatest flip-flopper&#39;,Fox News,2024-09-01T00:39:14Z,https://www.youtube.com/watch?v=Fmbnf2fIrAs
Police searching for man who threatened Trump’s life in Arizona,Fox News,2024-08-22T19:17:36Z,https://www.youtube.com/watch?v=UjMxcPDulr8
Lady Gaga&#39;s father applauds Trump&#39;s &#39;no tax on tips&#39; plan as &#39;brilliant&#39;,Fox News,2024-08-23T21:45:01Z,https://www.youtube.com/watch?v=xa4GqXBkoqg
Trump jokes that he &#39;sleeps&#39; with the chart that &#39;saved&#39; his life,Fox News,2024-09-25T15:22:10Z,https://www.youtube.com/watch?v=SFEG2mnPVoY
Trump: People don&#39;t know who Kamala Harris is - she will be a terrible president,Fox News,2024-08-15T23:30:18Z,https://www.youtube.com/watch?v=lo-8GUOyxRs
Donald Trump: This is what the 2024 campaign is about,Fox News,2024-09-05T02:30:22Z,https://www.youtube.com/watch?v=ek3-5fJqH9M
Trump: I have been a ‘leader’ on IVF,Fox News,2024-09-11T08:15:03Z,https://www.youtube.com/watch?v=ygs2JdzQvFo
"Trump speaks out on security failures, second apparent assassination attempt",Fox News,2024-09-18T04:15:02Z,https://www.youtube.com/watch?v=Pdbax24kdi4
&#39;Jaw-dropping&#39;: GOP lawmaker on alleged Trump assassination attempt,Fox News,2024-09-19T05:15:02Z,https://www.youtube.com/watch?v=xe6zDXNRKTE
The biggest moments from the Trump-Elon Musk interview on X,Fox News,2024-08-13T20:04:44Z,https://www.youtube.com/watch?v=pY2Ofe4EnjQ
Trump on Kamala Harris’ economic positions: &#39;She is Biden&#39;,Fox News,2024-09-11T05:30:08Z,https://www.youtube.com/watch?v=KSOPkgxnDlk
