title,channel,upload_date,url
What Trump is reposting on social media,MS NOW,2024-08-29T01:22:02Z,https://www.youtube.com/watch?v=Qjx4K1PVkAg
Harris ROASTS Trump at debate,MS NOW,2024-09-11T05:18:18Z,https://www.youtube.com/watch?v=uiMuu-2lXeU
&quot;They&#39;re eating the dogs!&quot; Donald Trump&#39;s place in debate history,MS NOW,2024-09-11T19:17:02Z,https://www.youtube.com/watch?v=E3QdKKMOemM
Steve Kerr: &#39;Night night&#39; for Trump,MS NOW,2024-08-20T03:32:32Z,https://www.youtube.com/watch?v=Itl8PigZeo0
"Evangelical, Christian voters on a second Trump term",MS NOW,2024-08-15T04:00:01Z,https://www.youtube.com/watch?v=36bxyele_uo
"Mark Cuban: What Trump says is &#39;ridiculous, if not insane&#39;",MS NOW,2024-09-24T23:52:24Z,https://www.youtube.com/watch?v=xRa-OaJ1FlQ
&#39;Words of a coward&#39;: Sen. Kelly blasts Trump&#39;s Medal of Honor remarks,MS NOW,2024-08-21T18:34:35Z,https://www.youtube.com/watch?v=a70FwSnx-Vg
"Rachel reacts to Trump, Swift, and more on WWHL",MS NOW,2024-09-18T17:25:22Z,https://www.youtube.com/watch?v=9PuazhpCYgk
Trump mocks his sexual assault accuser,MS NOW,2024-09-07T02:30:16Z,https://www.youtube.com/watch?v=JxGMDC3IgUY
Obama roasts Trump&#39;s &#39;weird obsession&#39;,MS NOW,2024-08-21T05:29:02Z,https://www.youtube.com/watch?v=QJv6HnHzo4Y
Mary Trump traces Donald Trump&#39;s &#39;bullying and cruelty&#39; back to his &#39;terrible childhood&#39; in new book,MS NOW,2024-09-21T19:48:15Z,https://www.youtube.com/watch?v=ezX0OGE_LEk
Mary Trump: VP Harris inflicted a ‘narcissistic wound’ on Trump he may never recover from,MS NOW,2024-09-13T01:46:18Z,https://www.youtube.com/watch?v=7x6ficl5MJM
Clinton shades Trump’s Hannibal Lecter praise,MS NOW,2024-08-22T04:45:02Z,https://www.youtube.com/watch?v=xhEMda5JUhc
&#39;He was a sociopath&#39;: Mary Trump reveals family psychological history in new memoir,MS NOW,2024-09-22T20:16:43Z,https://www.youtube.com/watch?v=sf0mn9IMzmk
Trump fact-checked on false claim of migrants &#39;eating&#39; dogs and cats,MS NOW,2024-09-11T06:04:39Z,https://www.youtube.com/watch?v=vVZuAHK_Z0Y
Trump&#39;s latest gaffe: Confusing Alaska&#39;s ANWR with Afghanistan&#39;s Bagram,MS NOW,2024-09-18T21:20:22Z,https://www.youtube.com/watch?v=qJxfqwZOVuM
Donald Trump insults veterans yet again,MS NOW,2024-08-16T13:24:38Z,https://www.youtube.com/watch?v=Sy5VMcQb8WE
"DEBUNKED: Trump&#39;s tariffs raise prices for U.S. consumers, not foreign countries",MS NOW,2024-09-09T22:44:14Z,https://www.youtube.com/watch?v=shNRJVs8_Zo
She &#39;spanked his a**&#39;: Kamala Harris &#39;owns&#39; Donald Trump in first debate,MS NOW,2024-09-11T20:44:54Z,https://www.youtube.com/watch?v=bFMNPwyqkK4
Hayes: Trump is like a vampire,MS NOW,2024-08-31T02:00:31Z,https://www.youtube.com/watch?v=mVOR0ReqLb0
Secret Service &#39;did their job&#39; in this apparent assassination attempt on Trump: Former agent,MS NOW,2024-09-16T16:34:17Z,https://www.youtube.com/watch?v=6yxNYoHJySI
Why are George W. Bush &amp; Condoleezza Rice MIA on Trump?,MS NOW,2024-09-07T03:00:36Z,https://www.youtube.com/watch?v=n0559S5vUs8
Joy: &#39;Trump got destroyed in this debate&#39;,MS NOW,2024-09-11T06:41:42Z,https://www.youtube.com/watch?v=79KmVqdj9sI
New book exposes lies behind the myth of Trump&#39;s business acumen,MS NOW,2024-09-18T05:15:47Z,https://www.youtube.com/watch?v=DSayw6QCnzk
House Dems to Trump: prove you didn&#39;t take a $10 million bribe from Egypt,MS NOW,2024-09-08T16:52:17Z,https://www.youtube.com/watch?v=kILvCmTHZfk
What really happened when Donald Trump went to Arlington National Cemetery,MS NOW,2024-08-30T05:30:18Z,https://www.youtube.com/watch?v=-ysD2JVY91E
Pelosi slams Trump&#39;s attacks on VP Harris,MS NOW,2024-08-13T02:13:43Z,https://www.youtube.com/watch?v=ywnm1KfFvyM
The &#39;nightmare map&#39; for Democrats,MS NOW,2024-09-04T02:52:09Z,https://www.youtube.com/watch?v=hqcbeWP_vH8
