title,channel,upload_date,url
Harris’ grandnieces teach DNC how to pronounce her name,CNN,2024-08-23T11:47:36Z,https://www.youtube.com/watch?v=JvwGUWfvRV4
Trump continues personal attacks on Kamala Harris,CNN,2024-08-19T11:35:22Z,https://www.youtube.com/watch?v=SM--QJaPRz0
Harris details call with Trump after apparent assassination attempt,CNN,2024-09-17T20:31:57Z,https://www.youtube.com/watch?v=2Y02D80R0GU
Hear what Putin says is ‘infectious’ about Kamala Harris,CNN,2024-09-05T13:08:27Z,https://www.youtube.com/watch?v=lKoXhTuUOI8
Kamala Harris’ Jamaican family dismiss Trump’s racial attacks,CNN,2024-08-17T14:08:44Z,https://www.youtube.com/watch?v=HhcKwoK0Ta0
Harris responds to Trump’s Claim that She ‘Turned Black’ for Political gain,CNN,2024-08-30T00:03:28Z,https://www.youtube.com/watch?v=NK9m3cpwBV4
Kamala Harris and Tim Walz CNN interview (part 1): Plan for first day in office,CNN,2024-08-30T01:52:51Z,https://www.youtube.com/watch?v=Dl9gPBasyv4
Trump and Harris on Israel stances,CNN,2024-09-11T03:31:11Z,https://www.youtube.com/watch?v=8EbQ1cc1wq8
&#39;I&#39;m talking now&#39;: Trump and Harris spar during debate,CNN,2024-09-11T03:28:15Z,https://www.youtube.com/watch?v=JlbetnvaLN8
CNN anchors react to Taylor Swift’s endorsement of Kamala Harris,CNN,2024-09-11T11:55:59Z,https://www.youtube.com/watch?v=D02nVcF9E1E
Hear Trump’s reaction to Taylor Swift endorsing Kamala Harris,CNN,2024-09-11T15:05:29Z,https://www.youtube.com/watch?v=xjV9OmMR-XM
Liz Cheney says Dick Cheney is voting for Kamala Harris,CNN,2024-09-06T21:32:18Z,https://www.youtube.com/watch?v=L4HwKJedFFw
&#39;What happened to you?&#39;: Oprah asks Harris about stepping in for Biden,CNN,2024-09-20T01:40:04Z,https://www.youtube.com/watch?v=JKS1MOt1jXE
Harris and Trump spar over abortion rights,CNN,2024-09-11T01:45:44Z,https://www.youtube.com/watch?v=wuNWdW0UXWI
‘Next question please’: Kamala Harris responds to question about Trump,CNN,2024-08-30T01:02:13Z,https://www.youtube.com/watch?v=N3QQZqQbFCw
Harris and Trump shake hands at 9/11 service,CNN,2024-09-11T13:24:17Z,https://www.youtube.com/watch?v=uxrH-SS081k
Trump says he won&#39;t accept CNN invite to debate Harris,CNN,2024-09-22T17:15:09Z,https://www.youtube.com/watch?v=f3x8KuXwC08
