title,channel,upload_date,url
"Kamala Harris repeats lines from debate, interviews",Fox News,2024-09-18T15:50:39Z,https://www.youtube.com/watch?v=0xB-bz5BFZQ
Laura: Here are Kamala Harris&#39; ‘5 biggest lies’,Fox News,2024-09-12T14:00:52Z,https://www.youtube.com/watch?v=petsbG-UtUI
"&#39;So embarrassing&#39;: Jesse Watters reacts to Kamala Harris&#39; &#39;word salad,&#39; &#39;pander politics&#39;",Fox News,2024-09-18T23:15:01Z,https://www.youtube.com/watch?v=t6rUOgutYUQ
Sen. John Kennedy reacts to Kamala Harris&#39; interview: &#39;It was like a wolf promising to be a vegan&#39;,Fox News,2024-08-31T01:27:00Z,https://www.youtube.com/watch?v=96GK8PUEeig
Jesse Watters: Kamala Harris still looks &#39;completely lost&#39;,Fox News,2024-09-14T02:45:00Z,https://www.youtube.com/watch?v=KFEQq7_x_nk
Kamala Harris: Consider what Trump will do if we give him power again,Fox News,2024-08-25T06:00:13Z,https://www.youtube.com/watch?v=FKHEYUImU8A
‘Gutfeld!’ reacts to Kamala Harris&#39; CNN interview,Fox News,2024-08-31T03:45:00Z,https://www.youtube.com/watch?v=I4r6CwSWZnw
Kamala Harris offers rambling answer to Pennsylvania voter&#39;s concerns about high prices,Fox News,2024-09-20T20:25:38Z,https://www.youtube.com/watch?v=cWBS7BCm8Ig
JD Vance reacts to Kamala Harris&#39; CNN sit-down: This was &#39;pretty bizarre&#39;,Fox News,2024-08-30T14:00:06Z,https://www.youtube.com/watch?v=YsfIg2SgN5Q
"Sean Hannity: Kamala Harris is a far-left, radical Marxist",Fox News,2024-09-19T02:00:00Z,https://www.youtube.com/watch?v=03aLB7mao9Y
Kayleigh McEnany: This is Kamala Harris&#39; biggest mistake,Fox News,2024-09-05T17:00:14Z,https://www.youtube.com/watch?v=MEjWev0dW3o
Trump uses Kamala Harris’ own words against her,Fox News,2024-09-11T03:45:00Z,https://www.youtube.com/watch?v=D0vcdRvJj8o
Kamala Harris serves up another &#39;word salad&#39;: Faulkner,Fox News,2024-09-16T20:45:00Z,https://www.youtube.com/watch?v=Xrk28RCz7zg
Tulsi Gabbard: Kamala Harris is ‘lying through her teeth’,Fox News,2024-08-29T10:45:00Z,https://www.youtube.com/watch?v=8NEbzwdEjWg
‘The Five’: Bernie Sanders drops a bombshell about Kamala Harris,Fox News,2024-09-09T23:00:12Z,https://www.youtube.com/watch?v=D-xOQxAqCDo
Kamala Harris affirmed her support for Israel and called for the Palestinian&#39;s suffering to end,Fox News,2024-08-23T10:00:18Z,https://www.youtube.com/watch?v=M3AH4SyM9G4
John Kennedy: Kamala Harris is a card carrying member of the Democratic Party&#39;s &#39;loon wing&#39; #shorts,Fox News,2024-08-31T02:15:00Z,https://www.youtube.com/watch?v=7ZzP0y-nQyw
