title,channel,upload_date,url
Trump lays out where he stands on abortion,Fox News,2024-09-11T07:30:16Z,https://www.youtube.com/watch?v=WuIQNmNDKlk
VP Harris slams ‘Trump abortion bans’,Fox News,2024-09-11T06:30:05Z,https://www.youtube.com/watch?v=D5vnudqsPh0
&#39;Very bizarre&#39;: Offer of free vasectomies at DNC draws mockery,Fox News,2024-08-19T19:30:00Z,https://www.youtube.com/watch?v=5y4eT2jDpL4
VP Kamala Harris on abortion: “I absolutely support reinstating the protections of Roe v. Wade.”,Fox News,2024-09-11T04:20:48Z,https://www.youtube.com/watch?v=XghVnzoo0mo
Trump: I have been a ‘leader’ on IVF,Fox News,2024-09-11T08:15:03Z,https://www.youtube.com/watch?v=ygs2JdzQvFo
Which topics are in and which are out this week at the DNC? Bill Hemmer explains.,Fox News,2024-08-22T19:41:46Z,https://www.youtube.com/watch?v=z5YK0t8ioeM
Conway: The Democrats will say anything,Fox News,2024-08-22T18:00:06Z,https://www.youtube.com/watch?v=5g3B7G2E26A
Jack Brewer: America needs a move back to morality,Fox News,2024-09-21T08:00:22Z,https://www.youtube.com/watch?v=_kTdF_O6l3k
Supreme Court limits Arizona proof-of-citizenship law,Fox News,2024-08-26T01:15:02Z,https://www.youtube.com/watch?v=no7esIypGgU
"Trump isn’t being radical, he’s in step with the majority of Americans: Nicole Saphier",Fox News,2024-09-01T07:00:07Z,https://www.youtube.com/watch?v=B2P0pgGMgO0
Colorado governor tries to tie Trump to Project 2025 despite disavowing it,Fox News,2024-08-22T07:30:23Z,https://www.youtube.com/watch?v=sFVwLN3Nark
"This will be the &#39;sleeper issue&#39; of the 2024 election, former Obama campaign official warns",Fox News,2024-08-15T18:15:04Z,https://www.youtube.com/watch?v=xSx9CV0TVM4
US’s ‘plummeting’ birthrate is something we should all be concerned about: Expert,Fox News,2024-09-07T17:30:00Z,https://www.youtube.com/watch?v=3lnuQlD2wBM
