title,channel,upload_date,url
"If you ban abortion, you ban healthcare for women",MS NOW,2024-09-07T18:02:06Z,https://www.youtube.com/watch?v=Q35K5Hriqc0
Don’t believe this dangerous conspiracy theory about Black women and abortion,MS NOW,2024-09-22T18:32:04Z,https://www.youtube.com/watch?v=hFzpAI_BLM8
JD Vance calls abortion ban &#39;a victory&#39; following report on death of Georgia mother,MS NOW,2024-09-19T22:50:16Z,https://www.youtube.com/watch?v=dV1CzR9exO8
&#39;A piece of my womanhood was taken&#39;: Texas woman on ectopic pregnancy,MS NOW,2024-08-14T02:35:44Z,https://www.youtube.com/watch?v=bgHF09KZkeE
Abortion bans reduce women to breeding stocks– and that’s exactly the point,MS NOW,2024-09-15T19:26:30Z,https://www.youtube.com/watch?v=idWz7gP5CcM
‘This death was preventable’: Sen. Ossoff discusses chilling consequences of GA abortion ban,MS NOW,2024-09-17T03:05:19Z,https://www.youtube.com/watch?v=oej-tTtZGPQ
‘He is proud that women are dying?’: Harris blasts Trump for deadly Georgia abortion ban,MS NOW,2024-09-21T03:46:09Z,https://www.youtube.com/watch?v=ueae4Bb8tjk
Sen. Warren calls out Trump’s abortion hypocrisy,MS NOW,2024-08-31T21:44:30Z,https://www.youtube.com/watch?v=xTOOSQaWnQ8
Lawrence on Trump&#39;s deadly abortion ban: &#39;Women are dying. They got what they wanted.’,MS NOW,2024-09-18T03:48:47Z,https://www.youtube.com/watch?v=KMaHAI5tGUI
The ‘abortion after birth’ lie is as dangerous as it is ludicrous,MS NOW,2024-09-14T20:00:41Z,https://www.youtube.com/watch?v=4gdpbVp04vM
‘Explicit’ cruelty: inside Project 2025’s plans ‘to whiten America’,MS NOW,2024-08-25T19:02:27Z,https://www.youtube.com/watch?v=l28SQ2hJ3Bw
Harris to give first abortion speech in Georgia after death of two women,MS NOW,2024-09-19T20:40:02Z,https://www.youtube.com/watch?v=EEFm-CvO19o
&#39;Trump&#39;s abortion ban&#39;--nationwide?,MS NOW,2024-09-23T23:28:56Z,https://www.youtube.com/watch?v=cEcLETsGMso
How abortion bans are leading to preventable deaths,MS NOW,2024-09-17T20:46:20Z,https://www.youtube.com/watch?v=5D7yHOc8xZY
‘Tip of the iceberg’: Bans in states with abortion restrictions leading to preventable deaths,MS NOW,2024-09-18T01:06:26Z,https://www.youtube.com/watch?v=LXfg_FEuZkk
&#39;Really important&#39; for Harris to personalize abortion rights issue,MS NOW,2024-09-20T20:45:01Z,https://www.youtube.com/watch?v=7qdEPjQwTwo
Deaths under GA&#39;s strict abortion ban &#39;only the beginning&#39;,MS NOW,2024-09-23T10:12:57Z,https://www.youtube.com/watch?v=on9zmZQeIyg
Out-of-touch Republicans get shocking dose of reality in abortion stories,MS NOW,2024-09-14T05:11:44Z,https://www.youtube.com/watch?v=5AM8-ejjGz4
