title,channel,upload_date,url
This lawyer helps newly arrived immigrant children heal and adjust to life in the US,CNN,2024-08-30T11:30:34Z,https://www.youtube.com/watch?v=yOBsHUWRBm8
&#39;Knock it off&#39;: Ohio AG reacts to uptick in threats after JD Vance&#39;s false claims about immigrants,CNN,2024-09-17T00:38:37Z,https://www.youtube.com/watch?v=Epp9OsZ57qg
Lawmakers get in heated exchange during hearing about immigration,CNN,2024-09-19T20:18:10Z,https://www.youtube.com/watch?v=LSABkReVDmI
Gov. Pritzker on immigration and Trump targeting Harris on border,CNN,2024-08-27T02:00:15Z,https://www.youtube.com/watch?v=_3lP-RSPjPE
"For traumatized children arriving alone in the US, this lawyer provides more than just legal help",CNN,2024-08-30T14:11:14Z,https://www.youtube.com/watch?v=bPXNKGQ5ONY
"Why Harris is considering a trip to the border, according to analysts",CNN,2024-09-24T02:46:53Z,https://www.youtube.com/watch?v=wI33zQANC4M
CNN visits town where Trump falsely claimed migrants are eating pets. Here&#39;s what we found,CNN,2024-09-12T12:44:07Z,https://www.youtube.com/watch?v=BTWHDF-2FlI
Trump vs. Harris on the Issues That Matter to Voters,CNN,2024-09-01T08:40:11Z,https://www.youtube.com/watch?v=Dq2y1FYufuY
CNN fact-checks JD Vance’s claims about immigrants eating pets,CNN,2024-09-10T10:00:00Z,https://www.youtube.com/watch?v=-lCwxR0P8Mg
JD Vance reacts to Springfield father saying he politicized his son&#39;s death (Part 2/2),CNN,2024-09-15T15:20:09Z,https://www.youtube.com/watch?v=si1Tbz1kbzw
Springfield mayor responds to JD Vance’s claims about Haitian immigrants,CNN,2024-09-15T17:50:19Z,https://www.youtube.com/watch?v=39voRIZciVI
Dana Bash and JD Vance clash over baseless claims about Haitian immigrants (Part 1/2),CNN,2024-09-15T15:16:42Z,https://www.youtube.com/watch?v=ra2PLZlP1o0
Trump supporter at MAGA boat parade speaks on former president&#39;s false claims on Haitian migrants,CNN,2024-09-19T01:30:17Z,https://www.youtube.com/watch?v=YPnkoWSnoEg
Why Trump keeps pushing debunked claim about Haitian immigrants,CNN,2024-09-14T22:19:34Z,https://www.youtube.com/watch?v=0VSV99PXbbw
Trump campaign and JD Vance promote false rumors about immigrants eating pets,CNN,2024-09-10T17:10:49Z,https://www.youtube.com/watch?v=r6iyp5UD6_g
Kamala Harris and Tim Walz CNN interview (part 2): Israel-Hamas war,CNN,2024-08-30T02:17:34Z,https://www.youtube.com/watch?v=Rus0ght1j34
Hear why this mayor is discouraging a visit from Trump and Vance,CNN,2024-09-17T02:07:16Z,https://www.youtube.com/watch?v=JMwgitYUp_g
Pope criticizes both Trump and Harris,CNN,2024-09-14T00:22:40Z,https://www.youtube.com/watch?v=wsC3h9rSju0
"Trump spreads more lies about Springfield, Ohio",CNN,2024-09-14T23:36:24Z,https://www.youtube.com/watch?v=Ru34gTyHKlw
Trump is lying about the border and using a deceptive chart to help him,CNN,2024-08-27T14:11:11Z,https://www.youtube.com/watch?v=nFM7_qay71k
&#39;Reprehensible&#39;: Father says Trump and Vance are politicizing son’s death,CNN,2024-09-12T02:30:00Z,https://www.youtube.com/watch?v=-EhGbOVsHqQ
Meryl Streep: &#39;A squirrel has more rights than a girl in Afghanistan&#39;,CNN,2024-09-25T14:22:16Z,https://www.youtube.com/watch?v=ECuqwuhKnEs
Crowd chants ‘lock him up’ during Clinton’s DNC speech,CNN,2024-08-20T10:57:52Z,https://www.youtube.com/watch?v=koaxywO4K40
Keilar rolls the tape on Trump’s recurring promise to share policies … just not right now,CNN,2024-09-19T19:42:54Z,https://www.youtube.com/watch?v=Ebv7m2X1xeI
The Controversial Measures Fueling El Salvador&#39;s &#39;Reverse Migration&#39;,CNN,2024-09-22T08:39:40Z,https://www.youtube.com/watch?v=hTiey90Y1LY
Harris explains in first interview as Democratic nominee why her positions on key issues changed,CNN,2024-08-29T20:33:11Z,https://www.youtube.com/watch?v=6rpgiaPHG3Q
Robert De Niro: Trump thinks he’s a ‘gangster’,CNN,2024-09-12T23:43:02Z,https://www.youtube.com/watch?v=w3EliVSw5_A
"Reporter on why Trump is saying Harris’ nomination is unconstitutional, and how it relates to 2020",CNN,2024-08-16T01:15:01Z,https://www.youtube.com/watch?v=cpb83M0ZqeM
Jake Tapper slams Vance and Trump hypocrisy on dangerous rhetoric,CNN,2024-09-18T22:44:23Z,https://www.youtube.com/watch?v=-K8JxUueLPM
Secret video: See what Trump ally said about Project 2025,CNN,2024-08-16T12:41:32Z,https://www.youtube.com/watch?v=S6Rvryx6A-0
Killed service member’s mom on what Trump said to her on phone call,CNN,2024-08-26T20:03:16Z,https://www.youtube.com/watch?v=dIXZlWzW4ws
Pollster: &#39;Mind-blowing to me that Trump doesn&#39;t seem to understand this&#39;,CNN,2024-09-24T21:01:04Z,https://www.youtube.com/watch?v=mY2pTphJJ4I
Project 2025 co-author discusses work in hidden-camera video,CNN,2024-08-15T16:52:24Z,https://www.youtube.com/watch?v=T8G8yBwF_tQ
Analyst: Trump’s team may find these Harris interview moments ‘useful’,CNN,2024-08-30T22:20:16Z,https://www.youtube.com/watch?v=-rTvbaSrxKc
Analysts react to Trump’s X interview with Musk after tech delay,CNN,2024-08-13T03:55:36Z,https://www.youtube.com/watch?v=qAmW4mj03RU
"‘No, you’re not going to switch’: Wallace presses analyst on Vance’s Springfield, Ohio, false claims",CNN,2024-09-20T23:18:38Z,https://www.youtube.com/watch?v=gTqUTL5JrzI
