title,channel,upload_date,url
Farmer describes watching illegal immigrants cross the Canadian border into the US on his property,Fox News,2024-09-25T21:16:24Z,https://www.youtube.com/watch?v=Ta5wsGnhmnQ
Trump gives fiery response on illegal immigration at town hall,Fox News,2024-09-05T02:12:38Z,https://www.youtube.com/watch?v=ofgJ59hEpHo
&#39;GET READY TO LEAVE&#39;: Trump delivers message to illegal immigrants,Fox News,2024-09-25T17:45:00Z,https://www.youtube.com/watch?v=HNKqzvoSh3g
Springfield resident describes impact of Haitian migrants on community,Fox News,2024-09-13T10:30:12Z,https://www.youtube.com/watch?v=L5Gq1Tc63UE
Small Ohio city flooded by Haitian migrants,Fox News,2024-09-13T12:45:12Z,https://www.youtube.com/watch?v=y9mi53O-Jdo
James Carville and Hannity spar over illegal immigration and national security risks,Fox News,2024-08-24T10:00:19Z,https://www.youtube.com/watch?v=OFV9F-N852o
Sen JD Vance talks US immigration crisis at Georgia campaign event,Fox News,2024-08-22T17:52:24Z,https://www.youtube.com/watch?v=H6i9V8_SbyM
&#39;PROBLEMATIC&#39;: California bill seeks to give illegal immigrants money to purchase a home,Fox News,2024-09-02T01:15:02Z,https://www.youtube.com/watch?v=YpwJ2O4NmfM
Kamala Harris: Our country needs a leader to address the problems at hand,Fox News,2024-09-11T03:30:15Z,https://www.youtube.com/watch?v=UMdIwUyFrnw
Trump vows to combat &#39;frightening&#39; border crisis by deporting migrant criminals if elected,Fox News,2024-09-15T07:00:30Z,https://www.youtube.com/watch?v=f03mRYRS1Hk
Border Patrol agents catch two illegal immigrants during Fox News ride-along,Fox News,2024-09-24T20:19:16Z,https://www.youtube.com/watch?v=wV4LIvfpvpU
&#39;Callous&#39;: Top Dem appears to doze off as crime victims testify,Fox News,2024-09-12T18:30:04Z,https://www.youtube.com/watch?v=2kX3V6JMlP4
Migrant gang terrorizes Colorado apartment complex,Fox News,2024-08-30T16:50:37Z,https://www.youtube.com/watch?v=OhM6QRPXeJc
Donald Trump hosts an immigration event in Arizona during DNC,Fox News,2024-08-22T20:31:45Z,https://www.youtube.com/watch?v=yrqbPcpmt4c
City council cuts mic off Alabama resident while voicing concerns over migrants,Fox News,2024-09-14T13:15:04Z,https://www.youtube.com/watch?v=OFwUxtT3jfo
Trump will ‘fix’ this: Gov. Glenn Youngkin,Fox News,2024-09-10T10:45:01Z,https://www.youtube.com/watch?v=NUSQNxB3yNo
Daughter of Mexican immigrants addresses House hearing on the Biden-Harris border crisis,Fox News,2024-09-10T18:56:10Z,https://www.youtube.com/watch?v=L7AaW_6CzL8
"This system is ‘non-existent,’ Florida sheriff warns",Fox News,2024-08-18T13:01:03Z,https://www.youtube.com/watch?v=zwhmtpraouk
&#39;PISSED OFF&#39;: Kevin O&#39;Leary rages at &#39;un-American&#39; idea,Fox News,2024-08-26T20:30:05Z,https://www.youtube.com/watch?v=REl27QtuhR0
Pelosi RIPPED for support of ‘ridiculous’ migrant proposal #shorts,Fox News,2024-09-01T18:00:28Z,https://www.youtube.com/watch?v=ZKG6x5cuaTw
Hundreds of kids left without bus service as blue state funds buses for migrants,Fox News,2024-08-25T16:30:09Z,https://www.youtube.com/watch?v=S_PLLDcYWwY
Emily Compagno: Trump’s viral &#39;pet-eating&#39; claims do immigration issues a favor,Fox News,2024-09-14T04:45:02Z,https://www.youtube.com/watch?v=l1lAuCpDyTU
Adam Carolla blasts California for greenlighting $150k loans for illegal immigrants to buy homes,Fox News,2024-08-28T19:35:01Z,https://www.youtube.com/watch?v=IeQd-MLx1RU
Unearthed video shows Kamala Harris chanting &#39;down with deportation&#39;,Fox News,2024-09-24T13:01:02Z,https://www.youtube.com/watch?v=qE_mdeJ4qKs
Ohio residents rage at officials over Haitian migrant surge: &#39;No vacancy&#39;,Fox News,2024-09-12T20:45:01Z,https://www.youtube.com/watch?v=oITtLIAYln4
Outrage as Biden-Harris admin weighs restarting controversial migrant program,Fox News,2024-08-29T14:00:00Z,https://www.youtube.com/watch?v=-10ZDT14IY0
"Kamala Harris is &#39;fearmongering&#39; Hispanics on this issue, Texas rep says",Fox News,2024-09-20T09:00:35Z,https://www.youtube.com/watch?v=Uq5WNGdFg7k
Kayleigh McEnany: This alone should disqualify Kamala!,Fox News,2024-08-22T18:45:00Z,https://www.youtube.com/watch?v=ClNZ-hL86dU
Tom Shillue: I didn&#39;t know Gavin Newsom was this &#39;moderate&#39;!,Fox News,2024-09-08T02:00:02Z,https://www.youtube.com/watch?v=8eGoGwcOEjY
Judge Jeanine: This will increase exponentially with Kamala Harris in the White House,Fox News,2024-08-13T23:02:30Z,https://www.youtube.com/watch?v=4ekIkKUbyWM
&#39;Growing by the day&#39;: Cities overwhelmed by migrant surge,Fox News,2024-09-03T13:01:09Z,https://www.youtube.com/watch?v=yG5Uc_--nho
Chicago residents express frustration over $460 million spent on migrants instead of locals in need,Fox News,2024-08-21T22:35:46Z,https://www.youtube.com/watch?v=rweK-ZZQIqI
Ted Cruz: This is happening ‘every damn day’,Fox News,2024-08-23T10:30:13Z,https://www.youtube.com/watch?v=XsJYMpClD3c
