title,channel,upload_date,url
Fact checking Trump&#39;s debate claims on immigration,MS NOW,2024-09-11T16:38:11Z,https://www.youtube.com/watch?v=1NLxJxyaeGs
Trump’s rhetoric on immigrants ‘becoming even more extreme’,MS NOW,2024-09-12T17:49:54Z,https://www.youtube.com/watch?v=NRZg9Xbvo7A
Anand Giridharadas: Lies about what people eat is a classic dehumanization tactic,MS NOW,2024-09-20T12:03:19Z,https://www.youtube.com/watch?v=0mpUXhhI2pk
Trump fact-checked on false claim of migrants &#39;eating&#39; dogs and cats,MS NOW,2024-09-11T06:04:39Z,https://www.youtube.com/watch?v=vVZuAHK_Z0Y
‘Terrible information control’: Campaign struggles to control Trump’s rhetoric on immigrants,MS NOW,2024-09-13T18:33:12Z,https://www.youtube.com/watch?v=69kDJWR0i_o
Trump supporter reacts to baseless immigrants &#39;eating the pets&#39; claim,MS NOW,2024-09-13T00:30:22Z,https://www.youtube.com/watch?v=kUTJ9mveEZA
How Aurora became MAGA&#39;s new migrant boogeyman,MS NOW,2024-09-07T06:27:28Z,https://www.youtube.com/watch?v=RBxZqKkbZd0
Neo-Nazi group helped fuel rumor against Haitian immigrants,MS NOW,2024-09-13T18:36:43Z,https://www.youtube.com/watch?v=rEu-zf-dvsk
"‘He talks a big game, but he does not walk the walk’: VP Harris on Trump’s immigration stance",MS NOW,2024-08-12T21:26:09Z,https://www.youtube.com/watch?v=lDMHb_fbx7E
Trump&#39;s smear against immigrants &#39;doesn&#39;t make any sense&#39;: Wagner,MS NOW,2024-08-17T02:11:58Z,https://www.youtube.com/watch?v=gEyNQNQFJ0w
&#39;Utterly unhinged and delusional&#39;: Trump continues to make baseless about migrants,MS NOW,2024-09-13T19:43:09Z,https://www.youtube.com/watch?v=vcXOhSFHMLs
&#39;Just fundamentally un-American&#39;: Tim Miller goes off on Trump&#39;s anti-immigration racism at rally,MS NOW,2024-09-24T21:55:25Z,https://www.youtube.com/watch?v=EppyOpxNdBc
Biden admin may restart immigration program paused over possible fraud concerns,MS NOW,2024-08-28T15:42:32Z,https://www.youtube.com/watch?v=T4ByTWJ8wAI
Plays into a history of racism: Rev. Al slams Vance&#39;s false claims about Haitian immigrants,MS NOW,2024-09-10T11:14:31Z,https://www.youtube.com/watch?v=j7j48afRoQA
He&#39;s calling a legal act illegal: Joe reacts to Vance defending false claim,MS NOW,2024-09-19T15:09:00Z,https://www.youtube.com/watch?v=xN_U0h6dAYk
"How will Harris deal with the border? Trump, Vance &#39;going on offense&#39; on immigration",MS NOW,2024-08-12T16:15:13Z,https://www.youtube.com/watch?v=t5lt2RLlrLY
